Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife
0 days 00:56:06.328000,63,"",4,0 days 00:54:49.173000,"","",0 days 00:00:35.408000,0 days 00:00:23.429000,269.0,218.0,277.0,187.0,hard,1.0
0 days 00:57:17.271000,63,0 days 00:01:10.943000,5,"","",0 days 00:00:17.745000,0 days 00:00:31.358000,0 days 00:00:21.840000,295.0,230.0,280.0,300.0,hard,2.0
0 days 00:58:26.835000,63,0 days 00:01:09.564000,6,"","",0 days 00:00:17.384000,0 days 00:00:30.718000,0 days 00:00:21.462000,296.0,232.0,279.0,303.0,hard,3.0
0 days 00:59:35.748000,63,0 days 00:01:08.913000,7,"","",0 days 00:00:17.263000,0 days 00:00:30.339000,0 days 00:00:21.311000,294.0,232.0,281.0,301.0,hard,4.0
0 days 01:00:45.003000,63,0 days 00:01:09.255000,8,"","",0 days 00:00:17.298000,0 days 00:00:30.345000,0 days 00:00:21.612000,296.0,232.0,281.0,301.0,hard,5.0
0 days 01:01:53.536000,63,0 days 00:01:08.533000,9,"","",0 days 00:00:17.179000,0 days 00:00:30.271000,0 days 00:00:21.083000,291.0,233.0,280.0,296.0,hard,6.0
0 days 01:03:08.158000,63,0 days 00:01:14.622000,10,"",0 days 01:03:04.786000,0 days 00:00:17.312000,0 days 00:00:31.196000,0 days 00:00:26.114000,296.0,209.0,"",302.0,hard,7.0
0 days 01:23:06.062000,63,"",11,0 days 01:21:51.279000,"","",0 days 00:00:34.271000,0 days 00:00:22.688000,299.0,222.0,280.0,296.0,soft,2.0
0 days 01:24:13.009000,63,0 days 00:01:06.947000,12,"","",0 days 00:00:16.828000,0 days 00:00:29.499000,0 days 00:00:20.620000,308.0,243.0,274.0,310.0,soft,3.0
0 days 01:25:36.738000,63,0 days 00:01:23.729000,13,"","",0 days 00:00:19.059000,0 days 00:00:39.149000,0 days 00:00:25.521000,279.0,166.0,280.0,283.0,soft,4.0
0 days 01:26:43.427000,63,0 days 00:01:06.689000,14,"","",0 days 00:00:16.848000,0 days 00:00:29.425000,0 days 00:00:20.416000,306.0,241.0,281.0,310.0,soft,5.0
0 days 01:28:08.533000,63,0 days 00:01:25.106000,15,"","",0 days 00:00:18.985000,0 days 00:00:39.929000,0 days 00:00:26.192000,279.0,181.0,280.0,230.0,soft,6.0
0 days 01:29:22.277000,63,0 days 00:01:13.744000,16,"","",0 days 00:00:16.686000,0 days 00:00:29.530000,0 days 00:00:27.528000,308.0,241.0,190.0,311.0,soft,7.0
0 days 01:30:51.319000,63,0 days 00:01:29.042000,17,"","",0 days 00:00:21.423000,0 days 00:00:39.220000,0 days 00:00:28.399000,177.0,212.0,281.0,216.0,soft,8.0
0 days 01:31:57.893000,63,0 days 00:01:06.574000,18,"","",0 days 00:00:16.718000,0 days 00:00:29.444000,0 days 00:00:20.412000,312.0,241.0,282.0,312.0,soft,9.0
